validTimeUtc,irradianceGlobalHorizontal,irradianceDirectNormal,
Thursday October 6 2022 at 1:00:00 PM,706.3,925.8,
Thursday October 6 2022 at 1:15:00 PM,705.3,924.8,
Thursday October 6 2022 at 1:30:00 PM,697.6,925.3,
Thursday October 6 2022 at 1:45:00 PM,686.5,925.3,
Thursday October 6 2022 at 2:00:00 PM,671.9,924.1,
Thursday October 6 2022 at 2:15:00 PM,653.9,921.8,
Thursday October 6 2022 at 2:30:00 PM,632,916.6,
Thursday October 6 2022 at 2:45:00 PM,606.6,908.8,
Thursday October 6 2022 at 3:00:00 PM,577.8,898.9,
Thursday October 6 2022 at 3:15:00 PM,545.8,886.3,
Thursday October 6 2022 at 3:30:00 PM,511.2,871.7,
Thursday October 6 2022 at 3:45:00 PM,473.9,854.1,
Thursday October 6 2022 at 4:00:00 PM,434,832.6,
Thursday October 6 2022 at 4:15:00 PM,391.2,801,
Thursday October 6 2022 at 4:30:00 PM,347.5,769,
Thursday October 6 2022 at 4:45:00 PM,302.5,732.9,
Thursday October 6 2022 at 5:00:00 PM,257,698.2,
Thursday October 6 2022 at 5:15:00 PM,208.6,678,
Thursday October 6 2022 at 5:30:00 PM,161.9,612.1,
Thursday October 6 2022 at 5:45:00 PM,116.2,509,
Thursday October 6 2022 at 6:00:00 PM,73.2,358.9,
Thursday October 6 2022 at 6:15:00 PM,31.8,170.4,
Thursday October 6 2022 at 6:30:00 PM,1.8,35.5,
Thursday October 6 2022 at 6:45:00 PM,0,0,
Thursday October 6 2022 at 7:00:00 PM,0,0,
Thursday October 6 2022 at 7:15:00 PM,0,0,
Thursday October 6 2022 at 7:30:00 PM,0,0,
Thursday October 6 2022 at 7:45:00 PM,0,0,
Thursday October 6 2022 at 8:00:00 PM,0,0,
Thursday October 6 2022 at 8:15:00 PM,0,0,
Thursday October 6 2022 at 8:30:00 PM,0,0,
Thursday October 6 2022 at 8:45:00 PM,0,0,
Thursday October 6 2022 at 9:00:00 PM,0,0,
Thursday October 6 2022 at 9:15:00 PM,0,0,
Thursday October 6 2022 at 9:30:00 PM,0,0,
Thursday October 6 2022 at 9:45:00 PM,0,0,
Thursday October 6 2022 at 10:00:00 PM,0,0,
Thursday October 6 2022 at 10:15:00 PM,0,0,
Thursday October 6 2022 at 10:30:00 PM,0,0,
Thursday October 6 2022 at 10:45:00 PM,0,0,
Thursday October 6 2022 at 11:00:00 PM,0,0,
Thursday October 6 2022 at 11:15:00 PM,0,0,
Thursday October 6 2022 at 11:30:00 PM,0,0,
Thursday October 6 2022 at 11:45:00 PM,0,0,
Friday October 7 2022 at 12:00:00 AM,0,0,
Friday October 7 2022 at 12:15:00 AM,0,0,
