validTimeUtc,dayOfWeek,dayOrNight,expirationTimeUtc,iconCode,iconCodeExtend,precipChance,precipType,pressureMeanSeaLevel,qpf,qpfSnow,relativeHumidity,temperature,temperatureDewPoint,temperatureFeelsLike,temperatureHeatIndex,temperatureWindChill,uvDescription,uvIndex,validTimeLocal,cloudCover,visibility,windDirection,windDirectionCardinal,windGust,windSpeed,wxPhraseLong,wxPhraseShort,wxSeverity
Friday May 5 2023 at 1:00:00 PM,Friday,D,1683305063,26,2600,15,rain,30.2,0,0,51,63,45,63,63,63,Moderate,4,2023-05-05T13:00:00-0400,88,10,16,NNE,,5,Cloudy,Cloudy,1
Friday May 5 2023 at 2:00:00 PM,Friday,D,1683305063,26,2600,15,rain,30.19,0,0,52,62,45,62,62,62,Moderate,5,2023-05-05T14:00:00-0400,86,10,4,N,,4,Cloudy,Cloudy,1
Friday May 5 2023 at 3:00:00 PM,Friday,D,1683305063,28,2800,15,rain,30.18,0,0,50,63,44,63,63,63,Moderate,4,2023-05-05T15:00:00-0400,79,10,347,NNW,,5,Mostly Cloudy,M Cloudy,1
Friday May 5 2023 at 4:00:00 PM,Friday,D,1683305063,28,2800,15,rain,30.18,0,0,52,63,45,63,63,63,Moderate,3,2023-05-05T16:00:00-0400,66,10,321,NW,,5,Mostly Cloudy,M Cloudy,1
Friday May 5 2023 at 5:00:00 PM,Friday,D,1683305063,28,2800,18,rain,30.18,0,0,54,62,45,62,62,62,Low,2,2023-05-05T17:00:00-0400,62,10,349,N,,6,Mostly Cloudy,M Cloudy,1
Friday May 5 2023 at 6:00:00 PM,Friday,D,1683305063,30,3000,19,rain,30.19,0,0,55,62,45,62,62,62,Low,1,2023-05-05T18:00:00-0400,50,10,53,NE,,5,Partly Cloudy,P Cloudy,1
Friday May 5 2023 at 7:00:00 PM,Friday,D,1683305063,30,3000,16,rain,30.2,0,0,63,60,47,59,60,59,Low,0,2023-05-05T19:00:00-0400,42,10,74,ENE,,7,Partly Cloudy,P Cloudy,1
Friday May 5 2023 at 8:00:00 PM,Friday,D,1683305963,34,3400,11,rain,30.22,0,0,71,57,47,55,57,55,Low,0,2023-05-05T20:00:00-0400,27,9,96,E,,6,Mostly Sunny,M Sunny,1
Friday May 5 2023 at 9:00:00 PM,Friday,N,1683305963,33,3300,13,rain,30.24,0,0,77,55,48,54,55,54,Low,0,2023-05-05T21:00:00-0400,24,8,100,E,,4,Mostly Clear,M Clear,1
Friday May 5 2023 at 10:00:00 PM,Friday,N,1683305963,33,3300,11,rain,30.25,0,0,80,54,48,53,54,53,Low,0,2023-05-05T22:00:00-0400,20,6,119,ESE,,4,Mostly Clear,M Clear,1
Friday May 5 2023 at 11:00:00 PM,Friday,N,1683305963,33,3300,8,rain,30.26,0,0,82,53,48,53,53,53,Low,0,2023-05-05T23:00:00-0400,20,5,143,SE,,3,Mostly Clear,M Clear,1
Saturday May 6 2023 at 12:00:00 AM,Saturday,N,1683305963,33,3300,9,rain,30.26,0,0,85,52,48,52,52,52,Low,0,2023-05-06T00:00:00-0400,21,4,77,ENE,,3,Mostly Clear,M Clear,1
Saturday May 6 2023 at 1:00:00 AM,Saturday,N,1683305963,33,3300,9,rain,30.27,0,0,87,51,47,51,51,51,Low,0,2023-05-06T01:00:00-0400,23,4,8,N,,2,Mostly Clear,M Clear,1
Saturday May 6 2023 at 2:00:00 AM,Saturday,N,1683305963,33,3300,9,rain,30.27,0,0,87,50,46,50,50,50,Low,0,2023-05-06T02:00:00-0400,27,3,6,N,,2,Mostly Clear,M Clear,1
Saturday May 6 2023 at 3:00:00 AM,Saturday,N,1683305963,29,2900,9,rain,30.27,0,0,87,49,45,49,49,49,Low,0,2023-05-06T03:00:00-0400,30,2.9,5,N,,2,Partly Cloudy,P Cloudy,1
Saturday May 6 2023 at 4:00:00 AM,Saturday,N,1683305963,29,2900,9,rain,30.27,0,0,88,48,45,48,48,48,Low,0,2023-05-06T04:00:00-0400,41,2.7,0,N,,2,Partly Cloudy,P Cloudy,1
Saturday May 6 2023 at 5:00:00 AM,Saturday,N,1683305963,29,2900,9,rain,30.28,0,0,90,48,45,47,48,47,Low,0,2023-05-06T05:00:00-0400,45,2.7,346,NNW,,3,Partly Cloudy,P Cloudy,1
Saturday May 6 2023 at 6:00:00 AM,Saturday,D,1683305963,30,3000,9,rain,30.29,0,0,90,47,44,46,47,46,Low,0,2023-05-06T06:00:00-0400,47,2.9,349,N,,3,Partly Cloudy,P Cloudy,1
Saturday May 6 2023 at 7:00:00 AM,Saturday,D,1683305963,30,3000,9,rain,30.3,0,0,87,48,45,48,48,48,Low,0,2023-05-06T07:00:00-0400,47,4,344,NNW,,3,Partly Cloudy,P Cloudy,1
Saturday May 6 2023 at 8:00:00 AM,Saturday,D,1683305963,30,3000,7,rain,30.3,0,0,81,52,46,52,52,52,Low,1,2023-05-06T08:00:00-0400,34,6,341,NNW,,4,Partly Cloudy,P Cloudy,1
Saturday May 6 2023 at 9:00:00 AM,Saturday,D,1683305963,34,3400,5,rain,30.3,0,0,68,58,47,58,58,58,Low,2,2023-05-06T09:00:00-0400,22,9,340,NNW,,4,Mostly Sunny,M Sunny,1
Saturday May 6 2023 at 10:00:00 AM,Saturday,D,1683305963,32,3200,2,rain,30.3,0,0,59,61,47,61,61,61,Moderate,4,2023-05-06T10:00:00-0400,14,10,344,NNW,,5,Sunny,Sunny,1
Saturday May 6 2023 at 11:00:00 AM,Saturday,D,1683305963,32,3200,0,rain,30.29,0,0,52,64,46,64,64,64,High,6,2023-05-06T11:00:00-0400,8,10,335,NNW,,5,Sunny,Sunny,1
Saturday May 6 2023 at 12:00:00 PM,Saturday,D,1683305963,32,3200,0,rain,30.27,0,0,47,66,45,66,66,66,High,7,2023-05-06T12:00:00-0400,16,10,333,NNW,,5,Sunny,Sunny,1
Saturday May 6 2023 at 1:00:00 PM,Saturday,D,1683305963,34,3400,0,rain,30.25,0,0,44,67,44,67,67,67,Very High,8,2023-05-06T13:00:00-0400,20,10,317,NW,,6,Mostly Sunny,M Sunny,1
Saturday May 6 2023 at 2:00:00 PM,Saturday,D,1683305963,30,3000,0,rain,30.24,0,0,41,68,44,68,68,68,High,7,2023-05-06T14:00:00-0400,33,10,317,NW,,7,Partly Cloudy,P Cloudy,1
Saturday May 6 2023 at 3:00:00 PM,Saturday,D,1683305963,30,3000,0,rain,30.22,0,0,39,69,43,69,69,69,High,6,2023-05-06T15:00:00-0400,32,10,315,NW,,7,Partly Cloudy,P Cloudy,1
Saturday May 6 2023 at 4:00:00 PM,Saturday,D,1683305963,30,3000,0,rain,30.2,0,0,38,70,43,70,70,70,Moderate,4,2023-05-06T16:00:00-0400,34,10,318,NW,,7,Partly Cloudy,P Cloudy,1
Saturday May 6 2023 at 5:00:00 PM,Saturday,D,1683305963,34,3400,0,rain,30.19,0,0,37,70,43,70,70,70,Low,2,2023-05-06T17:00:00-0400,28,10,307,NW,,8,Mostly Sunny,M Sunny,1
Saturday May 6 2023 at 6:00:00 PM,Saturday,D,1683305963,34,3400,0,rain,30.19,0,0,39,69,43,69,69,69,Low,1,2023-05-06T18:00:00-0400,28,10,302,WNW,,8,Mostly Sunny,M Sunny,1
Saturday May 6 2023 at 7:00:00 PM,Saturday,D,1683305963,34,3400,0,rain,30.18,0,0,42,68,44,68,68,68,Low,0,2023-05-06T19:00:00-0400,21,10,306,NW,,6,Mostly Sunny,M Sunny,1
Saturday May 6 2023 at 8:00:00 PM,Saturday,D,1683305963,34,3400,0,rain,30.19,0,0,50,65,46,65,65,65,Low,0,2023-05-06T20:00:00-0400,24,10,315,NW,,5,Mostly Sunny,M Sunny,1
Saturday May 6 2023 at 9:00:00 PM,Saturday,N,1683305963,31,3100,1,rain,30.19,0,0,53,63,46,63,63,63,Low,0,2023-05-06T21:00:00-0400,19,10,307,NW,,5,Clear,Clear,1
Saturday May 6 2023 at 10:00:00 PM,Saturday,N,1683305963,33,3300,2,rain,30.2,0,0,57,61,46,61,61,61,Low,0,2023-05-06T22:00:00-0400,22,10,276,W,,5,Mostly Clear,M Clear,1
Saturday May 6 2023 at 11:00:00 PM,Saturday,N,1683305963,33,3300,3,rain,30.2,0,0,62,59,46,59,59,59,Low,0,2023-05-06T23:00:00-0400,28,10,289,WNW,,4,Mostly Clear,M Clear,1
Sunday May 7 2023 at 12:00:00 AM,Sunday,N,1683305963,33,3300,3,rain,30.19,0,0,64,57,45,57,57,57,Low,0,2023-05-07T00:00:00-0400,29,10,289,WNW,,5,Mostly Clear,M Clear,1
Sunday May 7 2023 at 1:00:00 AM,Sunday,N,1683305963,33,3300,4,rain,30.19,0,0,67,56,45,55,56,55,Low,0,2023-05-07T01:00:00-0400,25,10,303,WNW,,4,Mostly Clear,M Clear,1
